20,15
102,102,102,102,103,110,110,111,119,87,94,94,94,94,94,94,94,94,85,81,
118,118,118,118,118,118,118,119,87,95,102,102,102,102,102,102,102,102,93,94,
94,94,94,94,94,94,94,94,95,103,110,11,12,12,12,15,110,110,101,102,
102,102,102,102,102,102,102,102,103,111,118,19,20,20,20,23,118,118,109,110,
110,110,51,52,52,52,55,110,111,119,81,27,28,0,30,31,81,81,117,118,
118,118,59,60,60,60,63,118,119,81,72,35,36,0,38,39,74,81,1,81,
81,81,67,68,0,70,71,72,73,73,84,9,33,17,33,10,82,81,81,81,
81,72,35,36,0,38,39,84,33,33,33,33,10,33,33,75,90,81,81,81,
81,88,76,10,33,33,17,33,33,33,33,75,89,89,89,90,81,81,81,81,
81,81,88,89,76,33,33,33,33,17,75,90,81,81,81,81,81,81,81,81,
81,81,81,81,88,76,10,33,33,75,90,81,81,81,81,81,81,81,81,81,
81,81,81,81,81,88,76,33,17,82,81,81,81,81,81,81,81,1,81,81,
81,81,81,1,81,81,88,76,33,82,81,81,81,81,81,81,81,81,81,81,
81,81,81,81,81,81,81,80,17,82,81,81,81,81,81,81,81,81,81,81,
81,81,81,81,81,81,81,80,9,82,81,81,81,81,81,81,81,81,81,81,
0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,92,
0,0,0,0,0,92,0,91,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,104,
105,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,112,113,112,
113,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,92,112,113,
0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,
0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,105,0,0,0,0,0,0,0,0,0,112,113,0,92,0,0,0,92,0,
0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,92,0,0,
0,0,113,92,0,0,0,0,0,0,0,0,0,0,0,112,113,0,0,0,
0,0,92,0,0,0,0,0,0,0,0,0,0,112,113,0,0,91,0,0,
0,0,113,91,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,
0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,7,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,97,96,
97,0,43,44,44,44,47,0,0,0,0,0,0,0,0,0,0,104,96,97,
96,97,0,0,0,0,0,0,0,0,0,45,46,29,45,46,0,0,104,105,
120,105,0,0,0,0,0,0,0,0,0,53,54,0,53,54,0,0,0,0,
121,97,45,46,69,45,46,0,0,0,0,0,0,0,0,0,0,0,0,0,
120,105,53,54,0,53,54,0,0,0,0,96,97,0,0,0,0,0,0,0,
121,97,0,0,0,0,0,0,0,0,0,104,105,0,0,0,0,0,0,0,
120,96,97,0,0,0,0,0,0,0,0,0,0,0,0,96,97,0,0,0,
121,120,105,0,0,0,0,0,0,0,0,0,0,96,97,104,105,0,0,0,
120,121,97,0,0,0,0,0,0,0,0,0,0,104,105,0,0,0,0,0,
121,120,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120,121,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
121,120,96,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,false,false,
false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,
true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,
true,true,true,false,false,false,true,false,false,false,false,true,true,false,true,true,false,false,true,true,
true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,
true,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,
true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,
true,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,
true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,
true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,
true,true,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,
true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,
true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,
